Vehicle Type,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
Taxi,2538,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,TEL AVIV CAB CORP.,2617 S. WABASH AVE.,CHICAGO,IL,60616,Chicago Carriage Cab,Chicago Elite Cab Corp.,2538Taxi
Taxi,1093,ACTIVE,VPG,MV-1,2012,YELLOW,Compressed Natural Gas,Y,YC18 LLC,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,"Taxi Medallion Management, LLC",1093Taxi
Taxi,4653,ACTIVE,FORD,ESCAPE,2011,YELLOW,Hybrid,N,NECT 25 LLC,6500 N. WESTERN AVE.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,"Medallion Leasing and Management, Inc.",4653Taxi
Livery,7603,RESERVED,LINCOLN,TOWN CAR,2009,BLACK,Gasoline,N,"HIGH STANDARDS CAR SERVICES, INC.",3058 W. BELMONT AVE.,CHICAGO,IL,60618,Independent1,,7603Livery
Taxi,6659,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,SREE CAB CO,2601 W. PETERSON AVE.,CHICAGO,IL,60659,City Service Taxi Association,Owner Manager,6659Taxi
Taxi,557,ACTIVE,TOYOTA,CAMRY,2012,WHITE/BLUE/STRIPES,Hybrid,N,PINDY CAB CO.,4020 W. GLENLAKE ST.,CHICAGO,IL,60646,Blue Ribbon Assn Inc,Owner Manager,557Taxi
Livery,9703,INACTIVE,LINCOLN,TOWN CAR,2007,BLACK,Gasoline,N,ASKEW EXECUTIVE LIMOUSINE INC,5550 N. ELSTON AVE.,CHICAGO,IL,60630,,,9703Livery
Medicar,6759,RESERVED,FORD,E150,2007,WHITE,Gasoline,N,Joiner Enterprises Inc,7650 S. YATES BLVD.,CHICAGO,IL,60649,,,6759Medicar
Taxi,3661,ACTIVE,DODGE,CARAVAN,2013,WHITE/BLUE,Compressed Natural Gas,N,DAEM RIDE INC.,2800 W. PETERSON ST.,CHICAGO,IL,60659,Peace Taxi Assoc Inc,Patriot Trans Inc,3661Taxi
Taxi,4151,ACTIVE,TOYOTA,PRIUS,2012,YELLOW,Hybrid,N,N & M CENTRAL TRANSPORTATION INC.,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,"Taxi Medallion Management, LLC",4151Taxi
Taxi,661,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,MEDALLION FUNDING CHICAGO CORP I,2945 W. PETERSON AVE.,CHICAGO,IL,60659,Top Cab Association,Top Cab Corp.,661Taxi
Livery,7010,RESERVED,FORD,EXPEDITION,2007,BLACK,Gasoline,N,CHICAGO LAND LUXURY LIMOUSINE INC,6144 W. CORNELIA AVE.,CHICAGO,IL,60634,,,7010Livery
Taxi,4394,ACTIVE,TOYOTA,PRIUS,2012,YELLOW,Hybrid,N,KELLY CAB CO,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,Owner Manager,4394Taxi
Livery,7469,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,FREDDY LIMO & MORE INC,4016 S. CALIFORNIA AVE.,CHICAGO,IL,60632,Independent1,,7469Livery
Livery,8995,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,"GRAYWOLF, INC.",927 W. 33RD PL.,CHICAGO,IL,60608,Independent1,,8995Livery
Medicar,7017,INACTIVE,FORD,E150,2009,WHITE,Gasoline,N,"SPECIALTY NEEDS TRANSPORTATION, INC.",8400 W. 183RD PL.,TINLEY PARK,IL,60487,,,7017Medicar
Livery,8497,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,BUDGET LIMOUSINE SERVICES INC,2120 W. LAKE ST.,CHICAGO,IL,60612,Independent1,,8497Livery
Taxi,116,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,KOSHECHKA TAXI INC,2617 S. WABASH AVE.,CHICAGO,IL,60616,Chicago Carriage Cab,Chicago Elite Cab Corp.,116Taxi
Taxi,6036,ACTIVE,TOYOTA,PRIUS,2013,WHITE/STARS/STRIPES,Hybrid,N,NEJA CAB CO,3351 W. ADDISON ST.,CHICAGO,IL,60618,American-United Cab Assn,Owner-Operator,6036Taxi
Taxi,5574,ACTIVE,NISSAN,ALTIMA,2011,WHITE/BLUE/STRIPES,Hybrid,N,ZEEBA CORP,1917 W. FERDINAND ST.,CHICAGO,IL,60622,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",5574Taxi
Taxi,3059,ACTIVE,TOYOTA,PRIUS,2012,GRAY/WHITE,Hybrid,N,PEACE INC.,6550 N. CLARK ST.,CHICAGO,IL,60626,Choice Taxi Association Inc,Choice Taxi Association,3059Taxi
Livery,8625,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,PREMIER INC,1412 N. SEYMOUR AVE.,MUNDELEIN,IL,60060,,,8625Livery
Taxi,4895,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,SHOWERS II HACKING CORP,2617 S. WABASH AVE.,CHICAGO,IL,60616,Royal 3 Ccc Chicago Taxi Assoc,Chicago Elite Cab Corp.,4895Taxi
Taxi,3914,ACTIVE,TOYOTA,PRIUS,2014,CREAM/GREEN,Hybrid,N,NEW AMSTERDAM LEASING CORP.,3351 W. ADDISON ST.,CHICAGO,IL,60618,Checker Taxi Affiliation,"Taxi Medallion Management, LLC",3914Taxi
Taxi,3525,ACTIVE,TOYOTA,PRIUS,2014,MAROON/BLUE/STRIPES,Hybrid,N,SAMSON CAB CORP.,2617 S. WABASH AVE.,CHICAGO,IL,60616,Chicago Carriage Cab,Chicago Elite Cab Corp.,3525Taxi
Taxi,6700,SURRENDER,TOYOTA,PRIUS,2010,WHITE/BLUE/STRIPES,Hybrid,N,BKS HACKING CHICAGO CORP.,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",6700Taxi
Taxi,3844,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,NECT 21 LLC,3351 W. ADDISON AVE.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,"Medallion Leasing and Management, Inc.",3844Taxi
Taxi,2654,ACTIVE,TOYOTA,PRIUS,2013,WHITE/BLUE/STRIPES,Hybrid,N,AUJLA CAB CO,1917 W. FERDINAND ST.,CHICAGO,IL,60622,Blue Ribbon Assn Inc,Owner Manager,2654Taxi
Livery,8228,ACTIVE,CADILLAC,XTS,2014,BLACK,Gasoline,N,CHICAGO CITY STAR CO,6745 W. BELMONT AVE.,CHICAGO,IL,60634,Independent1,,8228Livery
Taxi,297,ACTIVE,TOYOTA,SCION,2011,YELLOW,Gasoline,N,RAHIM TAXICAB INC,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,Owner Manager,297Taxi
Livery,8834,INACTIVE,LINCOLN,TOWN CAR,2004,BLACK,Gasoline,N,ROMAN SLIVICH,840 N. DAMEN AVE.,CHICAGO,IL,60622,,,8834Livery
Ambulance,5510,ACTIVE,MERCEDES,SPRINTER,2012,ORANGE/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,5510Ambulance
Livery,8847,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,ALLIANCE  LIMO INC.,4740 N. CUMBERLAND AVE.,CHICAGO,IL,60656,Independent1,,8847Livery
Taxi,2317,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,FLAMINGO TRANSIT CORP,9696 W. FOSTER AVE.,CHICAGO,IL,60656,Flash Cab Co,"Masters Medallion Management, LLC",2317Taxi
Livery,7894,ACTIVE,CADILLAC,SRX,2013,BLACK,Gasoline,N,TUDOR CIURESCU,3315 N. ORANGE AVE.,CHICAGO,IL,60634,Independent1,,7894Livery
Taxi,6292,ACTIVE,TOYOTA,PRIUS,2013,YELLOW,Hybrid,N,BRIANA CABS TWO INC,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,"Taxi Medallion Management, LLC",6292Taxi
Taxi,5922,ACTIVE,TOYOTA,CAMRY,2013,GRAY/WHITE,Hybrid,N,SUMETTI CAB CORP.,6550 N. CLARK ST.,CHICAGO,IL,60626,Choice Taxi Association Inc,Owner Manager,5922Taxi
Taxi,1998,ACTIVE,TOYOTA,PRIUS,2013,YELLOW,Hybrid,N,NATASHA TRANSPORTATION INC.,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,"Taxi Medallion Management, LLC",1998Taxi
Taxi,3290,ACTIVE,NISSAN,ALTIMA,2011,YELLOW,Hybrid,N,MC-HAS-VIBGYOR CORP,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,Owner Manager,3290Taxi
Taxi,6537,ACTIVE,FORD,ESCAPE,2012,MAROON/GREEN/STRIPES,Hybrid,N,BLUE EYES CAB CORP.,2617 S. WABASH AVE.,CHICAGO,IL,60616,Royal 3 Ccc Chicago Taxi Assoc,Chicago Elite Cab Corp.,6537Taxi
Taxi,294,ACTIVE,TOYOTA,RAV4,2012,WHITE,Gasoline,N,CAPRICORN CAB INC,6500 N. WESTERN AVE.,CHICAGO,IL,60645,Globe Taxi Association Inc,"Medallion Leasing and Management, Inc.",294Taxi
Taxi,5904,ACTIVE,FORD,ESCAPE,2011,BLUE/WHITE,Hybrid,N,SARDAR BAIG ENTERPRISES INC,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",5904Taxi
Taxi,2010,ACTIVE,TOYOTA,SCION,2012,BLUE,Gasoline,N,KALIB 2010 INC.,5606 N. WESTERN AVE.,CHICAGO,IL,60659,24 Seven Taxi Affiliaton,Owner Manager,2010Taxi
Taxi,4027,ACTIVE,TOYOTA,PRIUS,2012,WHITE,Hybrid,N,ROBOTICS CAB CO,5200 N. OTTO AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,4027Taxi
Taxi,1554,ACTIVE,FORD,ESCAPE,2011,GRAY/WHITE,Gasoline,N,"CHICAGO CAB, INC. #1",6550 N. CLARK ST.,CHICAGO,IL,60626,Choice Taxi Association Inc,Choice Taxi Association,1554Taxi
Taxi,4336,ACTIVE,TOYOTA,CAMRY,2013,YELLOW,Hybrid,N,OYINS INC,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,Owner-Operator,4336Taxi
Livery,7803,ACTIVE,CADILLAC,ESCALADE,2013,BLACK,Gasoline,N,CAREY LIMOUSINE CHICAGO INC,6321 N. AVONDALE AVE.,CHICAGO,IL,60631,,,7803Livery
Taxi,2367,SURRENDER,NISSAN,ALTIMA,2009,WHITE/BLUE/STRIPES,Gasoline,N,MIKHALIA CABS FOUR INC.,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",2367Taxi
Charter Sightseeing,13153,INACTIVE,FORD,E350,2008,WHITE,Gasoline,N,ARIES SHUTTLE CHICAGO LLC,621 S. KOLMAR AVE.,CHICAGO,IL,60624,,,13153Charter Sightseeing
Charter Sightseeing,9358,INACTIVE,CHEVROLET,ELDORADO BUS,2005,WHITE,Gasoline,N,CHICAGO MINIBUS TRAVEL INC.,9740 W. FOSTER,CHIICAGO,IL,60018,,,9358Charter Sightseeing
Taxi,2752,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,2752 TAXI CORP.,5200 N. OTTO AVE.,CHICAGO,IL,60656,Flash Cab Co,"Chicago Medallion Management, Corp.",2752Taxi
Taxi,3166,ACTIVE,TOYOTA,CAMRY,2010,ORANGE/BLUE,Hybrid,N,FRANKLIN TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,Dispatch Taxi Affil,Dispatch Taxi Management LLC,3166Taxi
Ambulance,5422,ACTIVE,FORD,E350,2009,BLUE/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,5422Ambulance
Livery,8247,ACTIVE,CHRYSLER,300,2013,BLACK,Gasoline,N,EXECUTIVE ONE LIMOUSINE INC,5142 N. KILDARE AVE.,CHICAGO,IL,60630,Independent1,,8247Livery
Taxi,3418,ACTIVE,TOYOTA,RAV4,2012,GRAY/WHITE,Gasoline,N,JHAPS TAXI CORP,6550 N. CLARK ST.,CHICAGO,IL,60626,Choice Taxi Association Inc,Choice Taxi Association,3418Taxi
Taxi,1154,ACTIVE,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,BLUE GARDEN CAB CORPORATION,5200 N. OTTO AVE.,CHICAGO,IL,60656,Flash Cab Co,Owner Manager,1154Taxi
Taxi,1206,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,DILAN CAB CORP.,2617 S. WABASH AVE.,CHICAGO,IL,60616,Chicago Carriage Cab,Chicago Elite Cab Corp.,1206Taxi
Taxi,6153,ACTIVE,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,MAI-BELLA INC,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",6153Taxi
Taxi,6286,ACTIVE,TOYOTA,CAMRY,2011,YELLOW,Hybrid,N,BRIANA CABS TWO INC,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,"Taxi Medallion Management, LLC",6286Taxi
Taxi,6907,ACTIVE,NISSAN,ALTIMA,2009,ORANGE/BLUE,Hybrid,N,CITY TAXI INC.,4536 N. ELSTON AVE.,CHICAGO,IL,60630,Dispatch Taxi Affil,Dispatch Taxi Management LLC,6907Taxi
Livery,8129,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,D T & C GLOBAL MANAGEMENT LLC,3201 S. HOYNE AVE.,CHICAGO,IL,60608,Independent1,,8129Livery
Taxi,5278,ACTIVE,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,LEEDS TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,Dispatch Taxi Affil,Dispatch Taxi Management LLC,5278Taxi
Taxi,1923,ACTIVE,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,"BLACK ROSE, INC.",2601 W. PETERSON AVE.,CHICAGO,IL,60659,Globe Taxi Association Inc,Owner Manager,1923Taxi
Taxi,2982,ACTIVE,TOYOTA,RAV4,2013,BLUE,Gasoline,N,SNY CAB INC,5606 N. WESTERN AVE.,CHICAGO,IL,60659,24 Seven Taxi Affiliaton,Owner-Operator,2982Taxi
Taxi,2941,ACTIVE,NISSAN,ALTIMA,2010,ORANGE/BLUE,Hybrid,N,TRIBECA TWO CAB CORP.,4536 N. ELSTON AVE.,CHICAGO,IL,60630,Dispatch Taxi Affil,Dispatch Taxi Management LLC,2941Taxi
Livery,9929,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO TRAVELLERS LIMOUSINE INC,6424 N. WASHTENAW AVE.,CHICAGO,IL,60645,,,9929Livery
Ambulance,5658,ACTIVE,CHEVROLET,EXPRESS,2008,RED/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,5658Ambulance
Taxi,3524,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,EAJJU INC.,2601 W. PETERSON AVE.,CHICAGO,IL,60659,City Service Taxi Association,Owner Manager,3524Taxi
Taxi,5246,ACTIVE,TOYOTA,SCION,2012,BLUE/WHITE,Gasoline,N,SAVE RAINFORESTS INC,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,Owner-Operator,5246Taxi
Taxi,3176,ACTIVE,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,TRIPOLI TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,Dispatch Taxi Affil,Dispatch Taxi Management LLC,3176Taxi
Taxi,6512,ACTIVE,TOYOTA,PRIUS,2012,CREAM/GREEN,Hybrid,N,JUMANI ENTERPRISES INC.,3351 W. ADDISON ST.,CHICAGO,IL,60618,Checker Taxi Affiliation,Owner-Operator,6512Taxi
Taxi,4567,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,COBRA CAB CO,2601 W. PETERSON AVE.,CHICAGO,IL,60659,City Service Taxi Association,Medallion Management Corp.,4567Taxi
Livery,9301,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,"WWA LIMO, INC.",939 W. 33RD PL.,CHICAGO,IL,60608,,,9301Livery
Taxi,3812,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,ZEESHAN CORP,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,Owner Manager,3812Taxi
Taxi,2245,ACTIVE,FORD,ESCAPE,2010,WHITE,Hybrid,N,ROMA CAB CO,630 N. FRANKLIN ST.,CHICAGO,IL,60654,Globe Taxi Association Inc,Owner Manager,2245Taxi
Taxi,3118,ACTIVE,TOYOTA,PRIUS,2010,WHITE/BLUE/STRIPES,Hybrid,N,DELL CAB COMPANY,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",3118Taxi
Taxi,2043,ACTIVE,TOYOTA,PRIUS,2013,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO SEVEN CAB INC,2617 S. WABASH AVE.,CHICAGO,IL,60616,Chicago Carriage Cab,Chicago Elite Cab Corp.,2043Taxi
Livery,8379,ACTIVE,GMC,YUKON,2013,BLACK,Gasoline,N,A 1 LIMO RIDE INC,5550 N. ELSTON AVE.,CHICAGO,IL,60630,Independent1,,8379Livery
Livery,7303,ACTIVE,FORD,EXPEDITION,2014,BLACK,Gasoline,N,METROPOLITAN LIMOUSINE INC.,1836 S. WABASH ST.,CHICAGO,IL,60611,Independent1,,7303Livery
Taxi,6354,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,PAK-AMERICAN TAXICAB INC,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,Owner Manager,6354Taxi
Livery,8138,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,TRANGE FRANGE INC,5202 W. SCHUBERT AVE.,CHICAGO,IL,60639,,,8138Livery
Taxi,5256,ACTIVE,FORD,ESCAPE,2010,YELLOW,Hybrid,N,VASKEN CAB INC,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,Owner Manager,5256Taxi
Taxi,350,ACTIVE,TOYOTA,SCION,2012,CREAM/GREEN,Hybrid,N,BABY BLUE CAB CORP.,3351 W. ADDISON ST.,CHICAGO,IL,60618,Checker Taxi Affiliation,"Taxi Medallion Management, LLC",350Taxi
Ambulance,5306,ACTIVE,MERCEDES,SPRINTER,2013,RED/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,5306Ambulance
Livery,7921,RESERVED,LINCOLN,NAVIGATOR,2015,BLACK,Gasoline,N,NORTHBROOK LIMOUSINE INC,4945 N. MULLIGAN AVE.,CHICAGO,IL,60630,Independent1,,7921Livery
Taxi,2200,ACTIVE,TOYOTA,SCION,2011,WHITE,Gasoline,N,STENO CAB CO,2945 W. PETERSON,CHICAGO,IL,60659,Top Cab Association,Owner-Operator,2200Taxi
Ambulance,5174,INACTIVE,,,,,Gasoline,N,TOWER AMBULANCE,5567 N. ELSTON AVE.,CHICAGO,IL,60630,,,5174Ambulance
Taxi,5155,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,THIN ICE HACKING CORP.,2617 S. WABASH AVE.,CHICAGO,IL,60616,Chicago Carriage Cab,Chicago Elite Cab Corp.,5155Taxi
Taxi,3230,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,FULL MOON CAB COMPANY,2800 W. PETERSON AVE.,CHICAGO,IL,60656,Flash Cab Co,Patriot Trans Inc,3230Taxi
Taxi,1363,ACTIVE,TOYOTA,PRIUS,2013,YELLOW,Hybrid,N,LMN 5TH AVENUE CORP.,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,"Taxi Medallion Management, LLC",1363Taxi
Livery,9159,ACTIVE,FORD,EXPEDITION,2013,BLACK,Gasoline,N,LUXURY CHICAGO LIMO INC,1437 W. CHICAGO AVE.,CHICAGO,IL,60642,,,9159Livery
Taxi,1778,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,SEVEN DAY CAB CO,4118 W. LAWRENCE AVE.,CHICAGO,IL,60630,Globe Taxi Association Inc,Owner Manager,1778Taxi
Taxi,4307,ACTIVE,TOYOTA,CAMRY,2012,BLUE/WHITE,Hybrid,N,SHERE CORP,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",4307Taxi
Medicar,6691,INACTIVE,FORD,E450,2004,WHITE,Gasoline,N,NEAL'S TRANSPORTATION  INC,8408 S. ADA ST.,CHICAGO,IL,60620,,,6691Medicar
Taxi,5916,ACTIVE,TOYOTA,CAMRY,2011,GRAY/WHITE,Hybrid,N,3860 TAXI CORP,6550 N. CLARK ST.,CHICAGO,IL,60626,Choice Taxi Association Inc,Choice Taxi Association,5916Taxi
Livery,7240,ACTIVE,LINCOLN,TOWN CAR,2010,BLACK,Gasoline,N,JAVIER PENARANDA,2836 N. PARKSIDE AVE.,CHICAGO,IL,60634,,,7240Livery
Taxi,6983,INACTIVE,,,,,Gasoline,N,CITY OF CHICAGO BACP,2350 W. OGDEN AVE.,CHICAGO,IL,60608,,,6983Taxi
Livery,8003,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,ALEXANDER LIMOUSINE SERV INC,4444 SE. VINCENNES AVE.,CHICAGO,IL,60653,,,8003Livery
Taxi,5015,ACTIVE,HONDA,CRV,2011,WHITE,Gasoline,N,SUPER SEVEN CAB COMPANY,2601 W. PETERSON AVE.,CHICAGO,IL,60659,City Service Taxi Association,Owner Manager,5015Taxi
Taxi,364,ACTIVE,FORD,FUSION,2014,YELLOW,Hybrid,N,NECT 31 LLC,6500 N. WESTERN AVE.,CHICAGO,IL,60645,Yellow Cab Affiliation Inc,"Medallion Leasing and Management, Inc.",364Taxi
Ambulance,5506,RESERVED,MERCEDES,SPRINTER,2013,RED/WHITE,Gasoline,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126,,,5506Ambulance
Taxi,3659,SURRENDER,TOYOTA,PRIUS,2010,YELLOW,Hybrid,N,MAROM CAB CORP.,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,"Chicago Taxi Medallion Management, Inc.",3659Taxi
Taxi,4778,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,MISHA CAT CAB CORP,2617 S. WABASH AVE.,CHICAGO,IL,60616,Royal 3 Ccc Chicago Taxi Assoc,Chicago Elite Cab Corp.,4778Taxi
Livery,8779,ACTIVE,INFINITI,M 37X,2011,BLACK,Gasoline,N,CHICAGO BLACK CAR INC,1300 W. ALTGELD ST.,CHICAGO,IL,60614,Independent1,,8779Livery
Taxi,6545,ACTIVE,TOYOTA,PRIUS,2013,BLUE/WHITE,Gasoline,N,ERI TRANS INC.,4626 W. CORNELIA AVE.,CHICAGO,IL,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc.",6545Taxi
Taxi,6888,ACTIVE,TOYOTA,SCION,2011,CREAM/GREEN,Gasoline,N,APOPO LLC,3351 W. ADDISON ST.,CHICAGO,IL,60618,Checker Taxi Affiliation,"Taxi Medallion Management, LLC",6888Taxi
Taxi,5791,ACTIVE,FORD,ESCAPE,2012,CREAM/GREEN,Hybrid,N,BABY MASON INC.,3351 W. ADDISON ST.,CHICAGO,IL,60618,Checker Taxi Affiliation,Owner Manager,5791Taxi
